Bulan,Aceh,Bali,Banten,Bengkulu,Yogyakarta,Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,INDONESIA
Apr-21,29998.33333333333,41736.0,37458.0,39682.66666666666,37861.0,37267.333333333336,32255.33333333333,36457.0,38716.66666666666,36961.333333333336,36847.66666666666,38711.333333333336,29075.666666666668,38916.66666666666,32003.666666666668,42777.66666666666,37310.333333333336,38702.66666666666,34563.0,43435.333333333336,44460.333333333336,43035.0,43268.333333333336,39544.333333333336,41888.66666666666,33315.333333333336,30724.0,25638.33333333333,34817.333333333336,32241.666666666668,35315.666666666664,29758.666666666668,34908.666666666664,32155.33333333333,36523.80392156864
May-21,29906.451612903227,39578.70967741936,40118.3870967742,39666.45161290323,36956.12903225807,37518.06451612903,33015.48387096774,36743.54838709677,38438.06451612903,37733.22580645161,35718.70967741936,42124.51612903226,32855.16129032258,42378.3870967742,38669.03225806452,44052.25806451613,39356.45161290323,40335.8064516129,35263.87096774193,43408.06451612903,45438.06451612903,45020.645161290326,46007.74193548387,45574.0,44859.03225806452,33223.54838709677,32520.322580645163,28203.548387096773,36385.8064516129,32944.51612903226,36855.8064516129,30204.516129032258,34951.6129032258,34160.645161290326,37946.66413662239
Jun-21,30415.0,36971.0,38440.333333333336,39825.333333333336,32818.666666666664,36109.66666666666,31432.33333333333,36792.333333333336,35112.0,33697.0,32106.0,44415.333333333336,36137.0,44446.66666666666,39788.333333333336,45153.333333333336,37580.333333333336,39897.66666666666,33263.333333333336,43620.0,44933.0,43173.66666666666,45251.0,42650.66666666666,46018.333333333336,34521.666666666664,31235.33333333333,28837.0,36196.333333333336,32134.0,35451.666666666664,30601.0,34794.666666666664,35098.0,37321.11764705883
Jul-21,29996.774193548383,34351.93548387097,38098.3870967742,34754.1935483871,29986.774193548383,34474.51612903226,29121.612903225807,31642.90322580645,33329.032258064515,31396.451612903227,29229.67741935484,41684.83870967742,33420.645161290326,41913.87096774193,38174.51612903226,44894.1935483871,35900.645161290326,40390.645161290326,31931.612903225807,44178.3870967742,45159.03225806452,42195.16129032258,44778.06451612903,42081.29032258064,46440.645161290326,29365.483870967742,30723.870967741936,26164.516129032258,37093.87096774193,31992.25806451613,35219.67741935484,28713.225806451614,29376.451612903227,31901.290322580644,35590.483870967735
Aug-21,29376.451612903227,33900.645161290326,36568.3870967742,33452.903225806454,31047.09677419355,33380.967741935485,23911.93548387097,30496.129032258064,32974.83870967742,31579.67741935484,30144.83870967742,38292.25806451613,29748.064516129038,37287.41935483871,33918.3870967742,40569.67741935484,34013.54838709677,38456.45161290323,30666.774193548383,44187.41935483871,45362.90322580645,39510.967741935485,43235.16129032258,42927.096774193546,45729.35483870968,28009.032258064515,29043.225806451614,23744.516129032258,34597.41935483871,32403.548387096773,33285.48387096774,27705.483870967742,28694.83870967742,31132.58064516129,34098.690702087275
Sep-21,29623.33333333333,36742.0,36254.333333333336,36242.66666666666,31887.33333333333,33698.666666666664,25861.33333333333,33280.666666666664,33342.666666666664,31964.666666666668,31293.666666666668,40987.333333333336,31529.666666666668,40094.66666666666,36149.0,42906.66666666666,38921.66666666666,38330.0,31330.33333333333,44713.333333333336,45034.66666666666,41291.0,41772.66666666666,42800.0,45939.0,29821.0,28572.666666666668,24781.666666666668,35079.666666666664,31561.666666666668,33068.0,28767.666666666668,31143.666666666668,31782.33333333333,35193.225490196084
Oct-21,29978.666666666668,38049.333333333336,36577.66666666666,35936.333333333336,32446.666666666668,33476.666666666664,31384.33333333333,33669.666666666664,33549.333333333336,32238.666666666668,32019.0,44274.333333333336,34959.333333333336,43353.333333333336,37784.333333333336,42735.333333333336,39291.333333333336,40035.66666666666,31679.666666666668,44193.333333333336,44643.333333333336,43386.0,43070.0,42331.66666666666,43609.66666666666,30929.666666666668,28816.33333333333,26092.33333333333,35561.0,31451.0,33324.0,29273.0,31842.0,32264.666666666668,36006.69607843138
Nov-21,30746.666666666668,38357.0,34525.333333333336,36020.0,33279.666666666664,34252.333333333336,30909.33333333333,33333.333333333336,34106.0,32608.0,32132.666666666668,41982.333333333336,33733.333333333336,42797.66666666666,37435.66666666666,45957.66666666666,39074.66666666666,38277.333333333336,31448.0,43632.66666666666,44916.0,42185.0,43859.0,42826.333333333336,45205.333333333336,30634.0,29072.0,26229.0,36224.333333333336,32127.33333333333,32809.0,28839.33333333333,31853.33333333333,31922.666666666668,35979.77450980392
Dec-21,30457.41935483871,37445.8064516129,35625.16129032258,37109.03225806452,34490.967741935485,35327.096774193546,30613.548387096773,34250.967741935485,35580.645161290326,33870.967741935485,33228.70967741936,40754.51612903226,31120.322580645163,39990.32258064516,34858.3870967742,44928.70967741936,40169.35483870968,39241.29032258064,32286.451612903227,43521.29032258064,44779.03225806452,40160.645161290326,44159.67741935484,43162.25806451613,45102.90322580645,32230.64516129032,30086.129032258064,25070.64516129032,38173.54838709677,32221.612903225807,34568.06451612903,29370.322580645163,33428.3870967742,33964.83870967742,36216.16698292219
Jan-22,31860.0,40829.35483870968,36980.32258064516,42711.6129032258,35807.41935483871,37056.45161290323,31944.1935483871,41238.3870967742,37221.93548387097,35982.25806451613,35871.6129032258,42537.41935483871,33517.74193548387,42512.90322580645,39467.096774193546,44261.6129032258,41335.8064516129,39857.096774193546,33474.83870967742,45880.967741935485,45521.6129032258,43287.096774193546,45357.74193548387,43260.0,43287.41935483871,37017.41935483871,30625.8064516129,27401.93548387097,37703.54838709677,34275.16129032258,35732.903225806454,32756.451612903227,35668.70967741936,36547.41935483871,38199.7722960152
Feb-22,29938.92857142857,36573.21428571428,35554.28571428572,34714.642857142855,32951.42857142857,34746.07142857143,31853.571428571428,32700.0,34571.78571428572,33335.71428571428,32370.35714285714,44420.71428571428,34436.42857142857,43319.642857142855,41492.142857142855,44656.78571428572,39176.78571428572,39581.42857142857,31767.14285714286,48677.857142857145,46686.42857142857,42326.07142857143,42728.57142857143,43315.0,46769.28571428572,30608.214285714286,29786.785714285717,27712.5,36692.142857142855,34322.5,37720.0,28414.64285714286,30679.64285714286,32487.85714285714,36679.0756302521
Mar-22,29387.09677419355,35897.74193548387,36805.48387096774,37685.16129032258,33773.87096774193,36359.35483870968,33401.6129032258,35713.54838709677,35124.1935483871,33918.70967741936,33332.25806451613,43713.87096774193,32493.548387096773,41390.0,39946.45161290323,45675.16129032258,39478.70967741936,40010.645161290326,32233.870967741936,47631.93548387097,46410.32258064516,41578.3870967742,41714.51612903226,42011.6129032258,49133.66666666666,32938.3870967742,30018.70967741936,27304.1935483871,37949.03225806452,34601.6129032258,37561.6129032258,30557.74193548387,33608.70967741936,32811.6129032258,37122.74541429474
Apr-22,29880.0,39778.0,39131.66666666666,39018.66666666666,37444.66666666666,38540.0,35381.0,36544.333333333336,38362.333333333336,37206.0,36417.66666666666,43071.66666666666,33288.333333333336,42541.333333333336,40735.333333333336,44977.66666666666,40768.0,40639.333333333336,34096.0,47522.333333333336,46935.333333333336,44875.0,44231.0,42617.0,49097.66666666666,34354.333333333336,31440.0,30217.33333333333,40307.333333333336,35722.333333333336,38869.66666666666,31991.0,34707.333333333336,34502.0,38682.69607843137
May-22,31554.83870967742,40121.93548387097,38199.35483870968,41360.32258064516,36444.51612903226,38017.096774193546,37688.06451612903,38504.83870967742,38557.41935483871,37711.6129032258,35418.06451612903,42788.3870967742,35462.25806451613,44515.48387096774,42450.0,47054.83870967742,41275.48387096774,42405.8064516129,35801.290322580644,46549.03225806452,46238.3870967742,44915.8064516129,43806.45161290323,43209.03225806452,49648.06451612903,36037.096774193546,33835.8064516129,32969.032258064515,39820.32258064516,36897.74193548387,40670.32258064516,33920.645161290326,36643.22580645161,36616.12903225807,39620.84440227704
