Kelompok Barang,Padi-padian,Umbi-umbian,Ikan,Daging,Telur dan susu,Sayur-sayuran,Kacang-kacangan,Buah-buahan,Minyak dan lemak,Bahan minuman,Bumbu-bumbuan,Konsumsi lainnya,Makanan jadi,Tembakau dan sirih,Perumahan dan fasilitas rumahtangga,Barang dan jasa,"Pakaian, alas kaki dan tutup kepala",Barang-barang tahan lama,Pajak dan asuransi,Keperluan pesta dan upacara,Jumlah makanan,Jumlah bukan makanan
1999,16.78,0.78,5.58,2.29,2.91,6.23,2.33,2.07,3.04,3.12,1.65,1.29,9.48,5.33,15.92,10.74,5.23,2.87,0.85,1.45,62.94,37.06
2002,12.47,0.64,5.17,2.86,3.28,4.73,2.02,2.84,2.25,2.71,1.55,1.37,9.7,6.8,17.8,12.07,5.18,4.1,0.8,1.57,58.47,41.53
2003,10.36,0.65,5.37,2.9,3.04,4.8,1.9,2.97,2.23,2.52,1.46,1.24,9.81,7.56,19.15,12.59,5.49,3.56,0.77,1.55,56.89,43.11
2004,9.44,0.76,5.06,2.85,3.05,4.33,1.75,2.61,2.31,2.48,1.43,1.23,10.28,6.89,20.65,13.48,5.11,4.15,0.83,1.19,54.59,45.42
2005,8.54,0.58,4.66,2.44,3.12,4.05,1.7,2.16,1.93,2.23,1.33,1.34,11.44,6.18,22.53,15.42,3.82,4.52,1.22,1.11,51.37,48.63
2006,11.37,0.59,4.72,1.85,2.96,4.42,1.63,2.1,1.97,2.5,1.37,1.27,10.29,5.97,22.56,14.99,4.42,2.98,0.97,1.06,53.01,46.99
2007,10.15,0.56,3.91,1.95,2.97,3.87,1.47,2.56,1.69,2.21,1.1,1.34,10.48,4.97,20.78,17.01,3.33,6.47,1.27,1.89,49.24,50.76
2008,9.57,0.53,3.96,1.84,3.12,4.02,1.55,2.27,2.16,2.13,1.12,1.39,11.44,5.08,20.21,17.12,3.37,6.37,1.25,1.51,50.17,49.83
2009,8.86,0.51,4.29,1.89,3.27,3.91,1.57,2.05,1.96,2.02,1.08,1.33,12.63,5.26,19.89,17.49,3.33,5.88,1.41,1.36,50.62,49.38
2010,8.89,0.49,4.34,2.1,3.2,3.84,1.49,2.49,1.92,2.26,1.09,1.29,12.79,5.25,20.36,16.78,3.38,5.14,1.57,1.32,51.43,48.57
2011,7.925,0.495,4.195,2.02,2.87,4.015,1.2850000000000001,2.105,1.85,1.865,1.04,1.07,12.780000000000001,5.445,19.415,17.945,4.49,6.14,1.575,1.48,48.955,51.045
2012,8.52,0.43,4.140000000000001,2.16,2.87,3.7,1.3250000000000002,2.36,1.87,1.705,0.99,1.0550000000000002,12.185,6.08,20.455,17.97,3.845,5.21,1.605,1.52,49.894999999999996,50.605000000000004
2013,7.85,0.45999999999999996,4.005,1.8399999999999999,2.955,4.17,1.29,2.085,1.6,1.8199999999999998,0.95,0.99,12.785,6.125,19.674999999999997,18.840000000000003,4.295,5.16,1.635,1.47,48.925,51.075
2014,7.295,0.46,4.02,1.93,3.015,3.66,1.275,2.3,1.5699999999999998,1.675,0.935,0.9650000000000001,12.965,6.18,20.165,19.41,4.24,4.66,1.82,1.455,48.245000000000005,51.754999999999995
2015,7.245,0.515,3.685,2.1500000000000004,2.99,3.17,1.19,2.07,1.425,1.645,0.935,0.9750000000000001,14.42,6.365,26.490000000000002,12.91,2.9299999999999997,5.195,2.09,1.6,48.78,51.22
2016,6.380000000000001,0.53,3.63,3.625,2.86,3.7,1.065,2.2800000000000002,1.3250000000000002,1.655,0.9450000000000001,0.985,14.725000000000001,6.4350000000000005,25.685000000000002,12.455,2.98,4.555,2.695,1.48,50.144999999999996,49.855000000000004
2017,5.6619920908269314,0.5368813968672003,3.740255668354307,3.506074927589959,2.7593752450990108,3.6859022351661954,1.01110196871975,2.100378847091614,1.2737196478730075,1.574886100670926,0.9634269530355345,0.9610800486565663,16.900685793332453,6.101930078945935,24.81631612500776,11.878991621069426,2.8967079283784356,5.158584218633049,2.8174841012181586,1.6542250034638935,50.777691002229375,49.22230899777061
2018,5.7436269675097344,0.5353137855165633,3.935230671225738,2.5280980754336184,2.8399066168296345,3.492107745574491,1.0433958015160776,2.3740932498996594,1.191840974808211,1.4986433539910715,0.9617893985278125,0.89225247907964,17.18394752058692,5.859670346120321,25.26263232673822,12.243904558054314,2.91560764162607,4.949307893526834,2.7946856179907833,1.753944975444214,50.07991698661962,49.92008301338038
2019,5.482401870080592,0.5195517359131516,3.820815615600088,2.211726099047829,2.7867306009001123,3.426763460769444,0.9600733693809733,2.2727590957175954,1.1274121566960202,1.4294860682254038,0.9317387937276755,0.8420220573701012,17.458487782423934,5.904832000367616,25.35802098728663,12.457922397360617,3.023815032670301,5.188530023834533,3.0391088524519656,1.7578020001753252,49.17480070622062,50.82519929377939
2020,5.449142503240464,0.5189850049348935,3.799487914172914,2.1572080216010665,2.8441141406752015,3.703511359317898,0.9508106786390161,2.4570717199752323,1.1548613765089926,1.496024471799073,0.9635191577100997,0.8626622033859759,16.866943976591635,5.991881313684174,25.18911727705136,12.415193837563951,2.94559135088927,4.961556161382185,3.376434057196119,1.895883473680629,49.21622384223675,50.78377615776326
2021,5.518443700450092,0.6200483754307986,4.073543120326283,2.335857337441321,2.78678318714115,4.259409521296896,1.0338953960975374,2.074967456344079,1.27400201511499,1.5391576741412878,1.074884259519648,0.9737652527052965,15.632073658657669,6.055938685282995,26.33066730420846,12.173208040067616,2.51032773768787,4.599545363228203,3.921353226898234,1.2121286879597561,49.252769639950124,50.747230360049876
2022,5.380563142391331,0.650461199646033,4.242299318447775,2.6573762229661,2.6729339658863123,4.094610196052343,1.028799105943478,2.3141654061712473,1.6355641603530084,1.4993443299656333,1.1256519007872379,1.0103916860371016,15.638836398864628,6.1895317153906095,26.741528023013554,11.839467179146025,2.4203262539425032,3.672395664365749,3.9550159184435816,1.2307382121851718,50.140528748902945,49.85947125109704
2023,5.520201734473616,0.615619042424299,3.9889728423202055,2.456083222247067,2.580464236060702,3.93315471270202,1.0230689327149738,2.239209301428371,1.2925238424123087,1.4039152855361385,1.0378902561614491,0.9566271159868226,15.675006964074106,6.268010503738444,26.68515098758686,12.234567584557245,2.4845888720445775,3.799996521213165,4.002873411673768,1.8020746306441415,48.99074799228038,51.00925200771962
